"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Santo André","Santo Andre","-23.6533","-46.5280","Brazil","BR","BRA","São Paulo","minor","748919","1076625886"
"Sorocaba","Sorocaba","-23.5019","-47.4578","Brazil","BR","BRA","São Paulo","minor","723574","1076758708"
"Aracaju","Aracaju","-10.9111","-37.0717","Brazil","BR","BRA","Sergipe","admin","664908","1076527830"
"Campo Grande","Campo Grande","-20.4686","-54.6222","Brazil","BR","BRA","Mato Grosso do Sul","admin","663621","1076660445"
"Osasco","Osasco","-23.5328","-46.7919","Brazil","BR","BRA","São Paulo","minor","652593","1076786452"
"Jaboatão dos Guararapes","Jaboatao dos Guararapes","-8.1128","-35.0150","Brazil","BR","BRA","Pernambuco","minor","581556","1076003460"
"Juiz de Fora","Juiz de Fora","-21.7642","-43.3503","Brazil","BR","BRA","Minas Gerais","minor","540756","1076006144"
"São José dos Campos","Sao Jose dos Campos","-23.1789","-45.8869","Brazil","BR","BRA","São Paulo","minor","539313","1076783887"
"Contagem","Contagem","-19.9319","-44.0539","Brazil","BR","BRA","Minas Gerais","minor","538017","1076845191"
"Macapá","Macapa","0.0330","-51.0500","Brazil","BR","BRA","Amapá","admin","512902","1076189884"
"Campos","Campos","-21.7523","-41.3304","Brazil","BR","BRA","Rio de Janeiro","minor","511168","1076606365"
"Ribeirão Prêto","Ribeirao Preto","-21.1776","-47.8101","Brazil","BR","BRA","São Paulo","minor","504923","1076524478"
"Uberlândia","Uberlandia","-18.9189","-48.2769","Brazil","BR","BRA","Minas Gerais","minor","501214","1076495001"
"Niterói","Niteroi","-22.8833","-43.1036","Brazil","BR","BRA","Rio de Janeiro","minor","496696","1076501425"
"Cuiabá","Cuiaba","-15.5958","-56.0969","Brazil","BR","BRA","Mato Grosso","admin","483346","1076112309"
"Feira de Santana","Feira de Santana","-12.2669","-38.9669","Brazil","BR","BRA","Bahia","minor","480949","1076892244"
"Ananindeua","Ananindeua","-1.3658","-48.3719","Brazil","BR","BRA","Pará","minor","478778","1076025295"
"Vila Velha","Vila Velha","-20.3364","-40.2936","Brazil","BR","BRA","Espírito Santo","minor","472762","1076404077"
"Mogi das Cruzes","Mogi das Cruzes","-23.5228","-46.1931","Brazil","BR","BRA","São Paulo","minor","450785","1076857883"
"Londrina","Londrina","-23.3100","-51.1628","Brazil","BR","BRA","Paraná","minor","447065","1076723241"
"Joinvile","Joinvile","-26.3039","-48.8458","Brazil","BR","BRA","Santa Catarina","minor","429604","1076050637"
"Piracicaba","Piracicaba","-22.7252","-47.6493","Brazil","BR","BRA","São Paulo","minor","423323","1076166252"
"Campina Grande","Campina Grande","-7.2306","-35.8811","Brazil","BR","BRA","Paraíba","minor","419379","1076218697"
"Santos","Santos","-23.9608","-46.3339","Brazil","BR","BRA","São Paulo","minor","418608","1076033299"
"Mauá","Maua","-23.6678","-46.4608","Brazil","BR","BRA","São Paulo","minor","418261","1076477498"
"Boa Vista","Boa Vista","2.8200","-60.6719","Brazil","BR","BRA","Roraima","admin","413486","1076621300"
"Maringá","Maringa","-23.4250","-51.9389","Brazil","BR","BRA","Paraná","minor","409657","1076013378"
"Jundiaí","Jundiai","-23.1864","-46.8842","Brazil","BR","BRA","São Paulo","minor","401896","1076998392"
"Diadema","Diadema","-23.6858","-46.6228","Brazil","BR","BRA","São Paulo","minor","393237","1076867279"
"Itaquaquecetuba","Itaquaquecetuba","-23.4864","-46.3486","Brazil","BR","BRA","São Paulo","minor","375011","1076942224"
"Bauru","Bauru","-22.3147","-49.0606","Brazil","BR","BRA","São Paulo","minor","366992","1076905338"
"Rio Branco","Rio Branco","-9.9781","-67.8117","Brazil","BR","BRA","Acre","admin","364756","1076391263"
"Blumenau","Blumenau","-26.9189","-49.0658","Brazil","BR","BRA","Santa Catarina","minor","361261","1076618665"
"Caxias do Sul","Caxias do Sul","-29.1678","-51.1789","Brazil","BR","BRA","Rio Grande do Sul","minor","360419","1076809957"
"São José do Rio Prêto","Sao Jose do Rio Preto","-20.8200","-49.3789","Brazil","BR","BRA","São Paulo","minor","358523","1076760827"
"Caucaia","Caucaia","-3.7328","-38.6558","Brazil","BR","BRA","Ceará","minor","355679","1076870058"
"Olinda","Olinda","-8.0089","-34.8550","Brazil","BR","BRA","Pernambuco","minor","349976","1076784718"
"Praia Grande","Praia Grande","-24.0058","-46.4028","Brazil","BR","BRA","São Paulo","minor","349935","1076548222"
"Cascavel","Cascavel","-24.9558","-53.4553","Brazil","BR","BRA","Paraná","minor","348051","1076509946"
"Canoas","Canoas","-29.9200","-51.1800","Brazil","BR","BRA","Rio Grande do Sul","minor","347657","1076009922"
"Carapicuíba","Carapicuiba","-23.5228","-46.8358","Brazil","BR","BRA","São Paulo","minor","344596","1076874103"
"Florianópolis","Florianopolis","-27.5933","-48.5530","Brazil","BR","BRA","Santa Catarina","admin","342315","1076190259"
"Paulista","Paulista","-7.9408","-34.8728","Brazil","BR","BRA","Pernambuco","minor","342167","1076183876"
"Vitória da Conquista","Vitoria da Conquista","-14.8661","-40.8394","Brazil","BR","BRA","Bahia","minor","341128","1076812020"
"Porto Velho","Porto Velho","-8.7619","-63.9039","Brazil","BR","BRA","Rondônia","admin","334661","1076045591"
"Santarém","Santarem","-2.4431","-54.7083","Brazil","BR","BRA","Pará","","331937","1076256494"
"Ribeirão das Neves","Ribeirao das Neves","-19.7669","-44.0869","Brazil","BR","BRA","Minas Gerais","minor","329794","1076482220"
"Cariacica","Cariacica","-20.2639","-40.4200","Brazil","BR","BRA","Espírito Santo","minor","324285","1076479479"
"Pelotas","Pelotas","-31.7719","-52.3428","Brazil","BR","BRA","Rio Grande do Sul","minor","323158","1076815692"
"Vitória","Vitoria","-20.3106","-40.2972","Brazil","BR","BRA","Espírito Santo","admin","322869","1076376829"
"Serra","Serra","-20.1289","-40.3078","Brazil","BR","BRA","Espírito Santo","minor","321181","1076191325"
"Taubaté","Taubate","-23.0333","-45.5500","Brazil","BR","BRA","São Paulo","minor","317915","1076146252"
"Barueri","Barueri","-23.5111","-46.8764","Brazil","BR","BRA","São Paulo","minor","316473","1076211114"
"Guarujá","Guaruja","-23.9936","-46.2564","Brazil","BR","BRA","São Paulo","minor","311230","1076832747"
"Montes Claros","Montes Claros","-16.7322","-43.8636","Brazil","BR","BRA","Minas Gerais","minor","306947","1076113275"
"Betim","Betim","-19.9678","-44.1978","Brazil","BR","BRA","Minas Gerais","minor","306675","1076953384"
"São Vicente","Sao Vicente","-23.9664","-46.3861","Brazil","BR","BRA","São Paulo","minor","303551","1076857089"
"Palmas","Palmas","-10.1886","-48.3336","Brazil","BR","BRA","Tocantins","admin","302692","1076052802"
"Várzea Grande","Varzea Grande","-15.6469","-56.1328","Brazil","BR","BRA","Mato Grosso","minor","300078","1076359879"
"Anápolis","Anapolis","-16.3269","-48.9528","Brazil","BR","BRA","Goiás","minor","288085","1076208869"
"Franca","Franca","-20.5389","-47.4008","Brazil","BR","BRA","São Paulo","minor","287737","1076740256"
"Juazeiro do Norte","Juazeiro do Norte","-7.2128","-39.3150","Brazil","BR","BRA","Ceará","minor","286120","1076912078"
"Foz do Iguaçu","Foz do Iguacu","-25.5400","-54.5875","Brazil","BR","BRA","Paraná","minor","285415","1076025805"
"Petrópolis","Petropolis","-22.5050","-43.1789","Brazil","BR","BRA","Rio de Janeiro","minor","278881","1076352504"
"Ponta Grossa","Ponta Grossa","-25.0950","-50.1619","Brazil","BR","BRA","Paraná","minor","273616","1076716439"
"Taboão da Serra","Taboao da Serra","-23.6019","-46.7528","Brazil","BR","BRA","São Paulo","minor","273542","1076000585"
"Imperatriz","Imperatriz","-5.5258","-47.4758","Brazil","BR","BRA","Maranhão","minor","273110","1076486025"
"Sumaré","Sumare","-22.8219","-47.2669","Brazil","BR","BRA","São Paulo","minor","265955","1076684312"
"Mossoró","Mossoro","-5.1878","-37.3439","Brazil","BR","BRA","Rio Grande do Norte","minor","264577","1076461194"
"Itajaí","Itajai","-26.9078","-48.6619","Brazil","BR","BRA","Santa Catarina","minor","264054","1076348188"
"Indaiatuba","Indaiatuba","-23.0903","-47.2181","Brazil","BR","BRA","São Paulo","minor","256223","1076347789"
"São Carlos","Sao Carlos","-22.0178","-47.8908","Brazil","BR","BRA","São Paulo","minor","254484","1076673445"
"Caruaru","Caruaru","-8.2828","-35.9758","Brazil","BR","BRA","Pernambuco","minor","253634","1076397475"
"Parnamirim","Parnamirim","-5.9158","-35.2628","Brazil","BR","BRA","Rio Grande do Norte","minor","252716","1076600360"
"Uberaba","Uberaba","-19.7478","-47.9319","Brazil","BR","BRA","Minas Gerais","minor","252051","1076230331"
"Limeira","Limeira","-22.5647","-47.4017","Brazil","BR","BRA","São Paulo","minor","249046","1076508566"
"Governador Valadares","Governador Valadares","-18.8508","-41.9489","Brazil","BR","BRA","Minas Gerais","minor","247131","1076271003"
"Macaé","Macae","-22.3708","-41.7869","Brazil","BR","BRA","Rio de Janeiro","minor","246391","1076074287"
"São José de Ribamar","Sao Jose de Ribamar","-2.5619","-44.0539","Brazil","BR","BRA","Maranhão","minor","244579","1076976057"
"Santa Maria","Santa Maria","-29.6839","-53.8069","Brazil","BR","BRA","Rio Grande do Sul","minor","243611","1076178738"
"Araraquara","Araraquara","-21.7939","-48.1758","Brazil","BR","BRA","São Paulo","minor","242228","1076251019"
"Volta Redonda","Volta Redonda","-22.5231","-44.1042","Brazil","BR","BRA","Rio de Janeiro","minor","242063","1076343513"
"Americana","Americana","-22.7392","-47.3314","Brazil","BR","BRA","São Paulo","minor","242018","1076922153"
"Sete Lagoas","Sete Lagoas","-19.4658","-44.2469","Brazil","BR","BRA","Minas Gerais","minor","241835","1076863850"
"Marília","Marilia","-22.2139","-49.9458","Brazil","BR","BRA","São Paulo","minor","240590","1076042151"
"Jacareí","Jacarei","-23.3050","-45.9658","Brazil","BR","BRA","São Paulo","minor","240275","1076592769"
"Arapiraca","Arapiraca","-9.7525","-36.6611","Brazil","BR","BRA","Alagoas","minor","234696","1076615737"
"Maracanaú","Maracanau","-3.8769","-38.6258","Brazil","BR","BRA","Ceará","minor","234509","1076848743"
"Gravataí","Gravatai","-29.9433","-50.9939","Brazil","BR","BRA","Rio Grande do Sul","minor","232629","1076919841"
"Divinópolis","Divinopolis","-20.1389","-44.8839","Brazil","BR","BRA","Minas Gerais","minor","231091","1076716552"
"Suzano","Suzano","-23.5428","-46.3108","Brazil","BR","BRA","São Paulo","minor","228690","1076830201"
"Magé","Mage","-22.6528","-43.0408","Brazil","BR","BRA","Rio de Janeiro","minor","228127","1076385139"
"Ipatinga","Ipatinga","-19.4678","-42.5369","Brazil","BR","BRA","Minas Gerais","minor","227731","1076484921"
"Rio Verde","Rio Verde","-17.7978","-50.9278","Brazil","BR","BRA","Goiás","minor","225696","1076844683"
"Presidente Prudente","Presidente Prudente","-22.1258","-51.3889","Brazil","BR","BRA","São Paulo","minor","225668","1076239965"
"Itaboraí","Itaborai","-22.7475","-42.8558","Brazil","BR","BRA","Rio de Janeiro","minor","224267","1076964860"
"Viamão","Viamao","-30.0808","-51.0228","Brazil","BR","BRA","Rio Grande do Sul","minor","224112","1076314777"
"Chapecó","Chapeco","-27.0958","-52.6178","Brazil","BR","BRA","Santa Catarina","minor","224013","1076258255"
"Itapevi","Itapevi","-23.5489","-46.9342","Brazil","BR","BRA","São Paulo","minor","223404","1076008789"
"Santa Luzia","Santa Luzia","-19.7697","-43.8514","Brazil","BR","BRA","Minas Gerais","minor","220444","1076123204"
"Petrolina","Petrolina","-9.3928","-40.5078","Brazil","BR","BRA","Pernambuco","minor","218538","1076843988"
"Hortolândia","Hortolandia","-22.8583","-47.2200","Brazil","BR","BRA","São Paulo","minor","215819","1076591779"
"Criciúma","Criciuma","-28.6775","-49.3697","Brazil","BR","BRA","Santa Catarina","minor","211369","1076000206"
"Sobral","Sobral","-3.6861","-40.3497","Brazil","BR","BRA","Ceará","minor","210711","1076577102"
"Santo Agostinho","Santo Agostinho","-8.2900","-35.0300","Brazil","BR","BRA","Pernambuco","","208944","1076363089"
"São José dos Pinhais","Sao Jose dos Pinhais","-25.5350","-49.2058","Brazil","BR","BRA","Paraná","minor","204316","1076174955"
"Rio Claro","Rio Claro","-22.4108","-47.5608","Brazil","BR","BRA","São Paulo","minor","201418","1076411428"
"Araçatuba","Aracatuba","-21.2089","-50.4328","Brazil","BR","BRA","São Paulo","minor","200124","1076630308"
"São Leopoldo","Sao Leopoldo","-29.7600","-51.1469","Brazil","BR","BRA","Rio Grande do Sul","minor","193547","1076834293"
"Nossa Senhora do Socorro","Nossa Senhora do Socorro","-10.8550","-37.1258","Brazil","BR","BRA","Sergipe","minor","192330","1076881156"
"Rio Grande","Rio Grande","-32.0350","-52.0989","Brazil","BR","BRA","Rio Grande do Sul","minor","191900","1076567920"
"Itabuna","Itabuna","-14.7858","-39.2800","Brazil","BR","BRA","Bahia","minor","186708","1076003792"
"Ferraz de Vasconcelos","Ferraz de Vasconcelos","-23.5411","-46.3689","Brazil","BR","BRA","São Paulo","minor","184700","1076173995"
"Santa Bárbara d’Oeste","Santa Barbara d'Oeste","-22.7539","-47.4139","Brazil","BR","BRA","São Paulo","minor","183347","1076199404"
"Colombo","Colombo","-25.2919","-49.2239","Brazil","BR","BRA","Paraná","minor","183329","1076976439"
"Jaraguá do Sul","Jaragua do Sul","-26.4858","-49.0669","Brazil","BR","BRA","Santa Catarina","minor","182660","1076588128"
"Guarapuava","Guarapuava","-25.3950","-51.4578","Brazil","BR","BRA","Paraná","minor","182093","1076415327"
"Manaus","Manaus","-3.1189","-60.0217","Brazil","BR","BRA","Amazonas","admin","175343","1076607274"
"Cachoeiro de Itapemirim","Cachoeiro de Itapemirim","-20.8489","-41.1128","Brazil","BR","BRA","Espírito Santo","","174879","1076536175"
"Juazeiro","Juazeiro","-9.4139","-40.5028","Brazil","BR","BRA","Bahia","minor","174567","1076632040"
"Luziânia","Luziania","-16.2528","-47.9500","Brazil","BR","BRA","Goiás","minor","174531","1076073549"
"Timon","Timon","-5.0939","-42.8369","Brazil","BR","BRA","Maranhão","minor","174465","1076758286"
"São José","Sao Jose","-27.6150","-48.6278","Brazil","BR","BRA","Santa Catarina","minor","173559","1076689151"
"Nova Friburgo","Nova Friburgo","-22.2819","-42.5308","Brazil","BR","BRA","Rio de Janeiro","minor","173418","1076922983"
"Araguaína","Araguaina","-7.1908","-48.2069","Brazil","BR","BRA","Tocantins","minor","171301","1076632868"
"Barra Mansa","Barra Mansa","-22.5439","-44.1708","Brazil","BR","BRA","Rio de Janeiro","minor","169894","1076686083"
"Passo Fundo","Passo Fundo","-28.2628","-52.4069","Brazil","BR","BRA","Rio Grande do Sul","minor","168458","1076763340"
"Francisco Morato","Francisco Morato","-23.2817","-46.7425","Brazil","BR","BRA","São Paulo","minor","168243","1076808330"
"Marabá","Maraba","-5.3689","-49.1178","Brazil","BR","BRA","Pará","minor","168020","1076974144"
"Itapecerica da Serra","Itapecerica da Serra","-23.7172","-46.8494","Brazil","BR","BRA","São Paulo","minor","167236","1076163359"
"Itu","Itu","-23.2642","-47.2992","Brazil","BR","BRA","São Paulo","minor","167095","1076622789"
"Linhares","Linhares","-19.3987","-40.0651","Brazil","BR","BRA","Espírito Santo","minor","166786","1076355611"
"São Caetano do Sul","Sao Caetano do Sul","-23.6228","-46.5508","Brazil","BR","BRA","São Paulo","minor","165655","1076527920"
"Lajes","Lajes","-27.8158","-50.3258","Brazil","BR","BRA","Santa Catarina","minor","164981","1076517475"
"Dourados","Dourados","-22.2208","-54.8058","Brazil","BR","BRA","Mato Grosso do Sul","minor","164949","1076544482"
"Poços de Caldas","Pocos de Caldas","-21.7878","-46.5608","Brazil","BR","BRA","Minas Gerais","minor","163742","1076336113"
"Parnaíba","Parnaiba","-2.9050","-41.7769","Brazil","BR","BRA","Piauí","minor","162159","1076568871"
"Camaçari","Camacari","-12.6978","-38.3239","Brazil","BR","BRA","Bahia","minor","161727","1076610862"
"Bragança Paulista","Braganca Paulista","-22.9189","-46.5425","Brazil","BR","BRA","São Paulo","minor","160665","1076245528"
"Pindamonhangaba","Pindamonhangaba","-22.9239","-45.4617","Brazil","BR","BRA","São Paulo","minor","160614","1076937468"
"Patos de Minas","Patos de Minas","-18.5871","-46.5149","Brazil","BR","BRA","Minas Gerais","minor","159235","1076100026"
"Abaetetuba","Abaetetuba","-1.7178","-48.8828","Brazil","BR","BRA","Pará","minor","158188","1076974632"
"Ilhéus","Ilheus","-14.7889","-39.0489","Brazil","BR","BRA","Bahia","minor","157639","1076021121"
"Itapetininga","Itapetininga","-23.5917","-48.0531","Brazil","BR","BRA","São Paulo","minor","157016","1076425970"
"Rio das Ostras","Rio das Ostras","-22.5269","-41.9450","Brazil","BR","BRA","Rio de Janeiro","minor","156491","1076148122"
"Camarajibe","Camarajibe","-8.0219","-34.9808","Brazil","BR","BRA","Pernambuco","minor","155054","1076738662"
"Santana de Parnaíba","Santana de Parnaiba","-23.4439","-46.9178","Brazil","BR","BRA","São Paulo","minor","154105","1076401391"
"Pouso Alegre","Pouso Alegre","-22.2281","-45.9336","Brazil","BR","BRA","Minas Gerais","minor","152549","1076082333"
"Alagoinhas","Alagoinhas","-12.1356","-38.4192","Brazil","BR","BRA","Bahia","minor","152327","1076155953"
"Araucária","Araucaria","-25.5928","-49.4100","Brazil","BR","BRA","Paraná","minor","151666","1076784908"
"Toledo","Toledo","-24.7139","-53.7428","Brazil","BR","BRA","Paraná","minor","150470","1076312600"
"Rondonópolis","Rondonopolis","-16.4708","-54.6358","Brazil","BR","BRA","Mato Grosso","minor","150227","1076627175"
"Santa Rita","Santa Rita","-7.1139","-34.9778","Brazil","BR","BRA","Paraíba","minor","149910","1076661082"
"Cotia","Cotia","-23.6039","-46.9189","Brazil","BR","BRA","São Paulo","minor","148987","1076098590"
"Jequié","Jequie","-13.8578","-40.0839","Brazil","BR","BRA","Bahia","minor","147202","1076558785"
"Franco da Rocha","Franco da Rocha","-23.3286","-46.7244","Brazil","BR","BRA","São Paulo","minor","145755","1076071582"
"Paço do Lumiar","Paco do Lumiar","-2.5319","-44.1078","Brazil","BR","BRA","Maranhão","minor","145643","1076632637"
"Garanhuns","Garanhuns","-8.8903","-36.4928","Brazil","BR","BRA","Pernambuco","minor","142506","1076673653"
"Trindade","Trindade","-16.6489","-49.4889","Brazil","BR","BRA","Goiás","minor","142431","1076815881"
"Brasília","Brasilia","-15.7939","-47.8828","Brazil","BR","BRA","Distrito Federal","primary","141742","1076144436"
"Brusque","Brusque","-27.0978","-48.9178","Brazil","BR","BRA","Santa Catarina","minor","141385","1076418225"
"Caxias","Caxias","-4.8589","-43.3558","Brazil","BR","BRA","Maranhão","minor","139756","1076325693"
"Botucatu","Botucatu","-22.8858","-48.4450","Brazil","BR","BRA","São Paulo","minor","139483","1076113865"
"Balneário de Camboriú","Balneario de Camboriu","-26.9908","-48.6350","Brazil","BR","BRA","Santa Catarina","minor","139155","1076385564"
"Teresópolis","Teresopolis","-22.4119","-42.9658","Brazil","BR","BRA","Rio de Janeiro","minor","138081","1076000296"
"Teófilo Otoni","Teofilo Otoni","-17.8578","-41.5050","Brazil","BR","BRA","Minas Gerais","minor","137418","1076465745"
"Atibaia","Atibaia","-23.1172","-46.5506","Brazil","BR","BRA","São Paulo","minor","137187","1076042485"
"Varginha","Varginha","-21.5508","-45.4300","Brazil","BR","BRA","Minas Gerais","minor","136467","1076731794"
"Campo Largo","Campo Largo","-25.4589","-49.5278","Brazil","BR","BRA","Paraná","minor","136327","1076072105"
"Cachoeirinha","Cachoeirinha","-29.9508","-51.0939","Brazil","BR","BRA","Rio Grande do Sul","minor","136258","1076573967"
"Castanhal","Castanhal","-1.2969","-47.9219","Brazil","BR","BRA","Pará","minor","134496","1076216938"
"Salto","Salto","-23.2008","-47.2869","Brazil","BR","BRA","São Paulo","minor","134319","1076427264"
"Cametá","Cameta","-2.2439","-49.4958","Brazil","BR","BRA","Pará","minor","134184","1076010069"
"Marituba","Marituba","-10.2833","-36.4000","Brazil","BR","BRA","Alagoas","","133685","1076858443"
"Jaú","Jau","-22.2958","-48.5578","Brazil","BR","BRA","São Paulo","minor","133497","1076312559"
"Santa Cruz do Sul","Santa Cruz do Sul","-29.7178","-52.4258","Brazil","BR","BRA","Rio Grande do Sul","minor","133230","1076862896"
"Ibirité","Ibirite","-20.0219","-44.0589","Brazil","BR","BRA","Minas Gerais","minor","133044","1076368194"
"Crato","Crato","-7.2342","-39.4094","Brazil","BR","BRA","Ceará","minor","133031","1076894967"
"São Mateus","Sao Mateus","-18.7201","-39.8589","Brazil","BR","BRA","Espírito Santo","minor","132642","1076829621"
"Barreiras","Barreiras","-12.1528","-44.9900","Brazil","BR","BRA","Bahia","minor","131849","1076854674"
"Cubatão","Cubatao","-23.8953","-46.4256","Brazil","BR","BRA","São Paulo","minor","131626","1076384228"
"Conselheiro Lafaiete","Conselheiro Lafaiete","-20.6600","-43.7858","Brazil","BR","BRA","Minas Gerais","minor","131621","1076456009"
"Itapipoca","Itapipoca","-3.4939","-39.5789","Brazil","BR","BRA","Ceará","minor","131123","1076980375"
"Araras","Araras","-22.3569","-47.3839","Brazil","BR","BRA","São Paulo","minor","130866","1076656148"
"Apucarana","Apucarana","-23.5508","-51.4608","Brazil","BR","BRA","Paraná","minor","130134","1076256387"
"Vespasiano","Vespasiano","-19.6919","-43.9233","Brazil","BR","BRA","Minas Gerais","minor","129765","1076342199"
"Bragança","Braganca","-1.0536","-46.7656","Brazil","BR","BRA","Pará","minor","128914","1076855072"
"Votorantim","Votorantim","-23.5469","-47.4378","Brazil","BR","BRA","São Paulo","minor","127923","1076604064"
"Paranaguá","Paranagua","-25.5208","-48.5094","Brazil","BR","BRA","Paraná","minor","127339","1076265266"
"Sertãozinho","Sertaozinho","-21.1378","-47.9900","Brazil","BR","BRA","São Paulo","minor","126887","1076989194"
"Cabo Frio","Cabo Frio","-22.8789","-42.0189","Brazil","BR","BRA","Rio de Janeiro","minor","126828","1076449553"
"Barcarena","Barcarena","-1.5058","-48.6258","Brazil","BR","BRA","Pará","minor","126650","1076553062"
"Jandira","Jandira","-23.5278","-46.9028","Brazil","BR","BRA","São Paulo","minor","126356","1076873964"
"Altamira","Altamira","-3.2028","-52.2058","Brazil","BR","BRA","Pará","minor","126279","1076710878"
"Barbacena","Barbacena","-21.2258","-43.7739","Brazil","BR","BRA","Minas Gerais","minor","125317","1076877003"
"Resende","Resende","-22.4689","-44.4469","Brazil","BR","BRA","Rio de Janeiro","minor","125214","1076678781"
"Guarapari","Guarapari","-20.6578","-40.5108","Brazil","BR","BRA","Espírito Santo","minor","124656","1076076726"
"Mogi Guaçu","Mogi Guacu","-22.3719","-46.9419","Brazil","BR","BRA","São Paulo","minor","124228","1076749992"
"Três Lagoas","Tres Lagoas","-20.7876","-51.7034","Brazil","BR","BRA","Mato Grosso do Sul","minor","123281","1076281782"
"Bento Gonçalves","Bento Goncalves","-29.1708","-51.5189","Brazil","BR","BRA","Rio Grande do Sul","minor","123151","1076492877"
"Itatiba","Itatiba","-23.0058","-46.8389","Brazil","BR","BRA","São Paulo","minor","122581","1076747401"
"Barretos","Barretos","-20.5569","-48.5678","Brazil","BR","BRA","São Paulo","minor","122485","1076042195"
"Almirante Tamandaré","Almirante Tamandare","-25.3250","-49.3100","Brazil","BR","BRA","Paraná","minor","119825","1076372357"
"Angra dos Reis","Angra dos Reis","-23.0069","-44.3178","Brazil","BR","BRA","Rio de Janeiro","","119247","1076039737"
"Arapongas","Arapongas","-23.4189","-51.4239","Brazil","BR","BRA","Paraná","minor","119138","1076623771"
"Guaratinguetá","Guaratingueta","-22.8167","-45.2278","Brazil","BR","BRA","São Paulo","minor","119073","1076125544"
"Birigui","Birigui","-21.2889","-50.3400","Brazil","BR","BRA","São Paulo","minor","118979","1076546798"
"Piraquara","Piraquara","-25.4419","-49.0628","Brazil","BR","BRA","Paraná","minor","118730","1076240504"
"Senador Canedo","Senador Canedo","-16.7081","-49.0931","Brazil","BR","BRA","Goiás","minor","118451","1076337498"
"Bagé","Bage","-31.3308","-54.1069","Brazil","BR","BRA","Rio Grande do Sul","minor","117938","1076515015"
"Araguari","Araguari","-18.6489","-48.1869","Brazil","BR","BRA","Minas Gerais","minor","117808","1076402865"
"Vitória de Santo Antão","Vitoria de Santo Antao","-8.1264","-35.3075","Brazil","BR","BRA","Pernambuco","minor","117609","1076843224"
"Uruguaiana","Uruguaiana","-29.7550","-57.0878","Brazil","BR","BRA","Rio Grande do Sul","minor","117210","1076680267"
"Umuarama","Umuarama","-23.7658","-53.3250","Brazil","BR","BRA","Paraná","minor","117095","1076793612"
"Tatuí","Tatui","-23.3556","-47.8569","Brazil","BR","BRA","São Paulo","minor","116682","1076587962"
"São Gonçalo do Amarante","Sao Goncalo do Amarante","-5.7928","-35.3289","Brazil","BR","BRA","Rio Grande do Norte","minor","115838","1076732684"
"Várzea Paulista","Varzea Paulista","-23.2108","-46.8278","Brazil","BR","BRA","São Paulo","minor","115771","1076046083"
"Ribeirão Pires","Ribeirao Pires","-23.7108","-46.4128","Brazil","BR","BRA","São Paulo","minor","115559","1076050419"
"Sabará","Sabara","-19.8858","-43.8069","Brazil","BR","BRA","Minas Gerais","minor","115352","1076006379"
"Igarassu","Igarassu","-7.8339","-34.9058","Brazil","BR","BRA","Pernambuco","minor","115196","1076739866"
"Catalão","Catalao","-18.1700","-47.9419","Brazil","BR","BRA","Goiás","minor","114427","1076169871"
